"Fondsposition per,""19.Juli2024"""
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"NPN,""NASPERS LIMITED N LTD"",""Zyklische Konsumgüter "",""Aktien"",""82.060.713,26"",""0,37"",""82.060.713,26"",""436.677,00"",""187,92"",""Südafrika"",""Johannesburg Stock Exchange"",""ZAR"""
"1211,""BYD LTD H"",""Zyklische Konsumgüter "",""Aktien"",""79.704.771,54"",""0,36"",""79.704.771,54"",""2.562.000,00"",""31,11"",""China"",""Hong Kong Exchanges And Clearing Ltd"",""HKD"""
"1810,""XIAOMI CORP"",""IT"",""Aktien"",""79.278.403,26"",""0,36"",""79.278.403,26"",""37.484.000,00"",""2,11"",""China"",""Hong Kong Exchanges And Clearing Ltd"",""HKD"""
"VALE3,""CIA VALE DO RIO DOCE SH"",""Materialien"",""Aktien"",""77.012.146,95"",""0,35"",""77.012.146,95"",""6.994.094,00"",""11,01"",""Brasilien"",""XBSP"",""BRL"""
"9618,""JD.COM CLASS A INC"",""Zyklische Konsumgüter "",""Aktien"",""74.773.788,76"",""0,34"",""74.773.788,76"",""5.686.958,00"",""13,15"",""China"",""Hong Kong Exchanges And Clearing Ltd"",""HKD"""
"M&M,""MAHINDRA AND MAHINDRA LTD"",""Zyklische Konsumgüter "",""Aktien"",""74.096.645,96"",""0,34"",""74.096.645,96"",""2.254.796,00"",""32,86"",""Indien"",""National Stock Exchange Of India"",""INR"""
"2318,""PING AN INSURANCE (GROUP) CO OF CH"",""Financials"",""Aktien"",""71.890.347,12"",""0,33"",""71.890.347,12"",""16.347.258,00"",""4,40"",""China"",""Hong Kong Exchanges And Clearing Ltd"",""HKD"""
"PETR4,""PETROLEO BRASILEIRO PREF SA"",""Energie"",""Aktien"",""70.129.897,71"",""0,32"",""70.129.897,71"",""10.061.438,00"",""6,97"",""Brasilien"",""XBSP"",""BRL"""
"IKSA,""ISHARES MSCI SAUDI ARABIA CAPPED"",""Financials"",""Aktien"",""67.901.631,82"",""0,31"",""67.901.631,82"",""10.642.889,00"",""6,38"",""Irland"",""London Stock Exchange"",""USD"""
"HINDUNILVR,""HINDUSTAN UNILEVER LTD"",""Nichtzyklische Konsumgüter"",""Aktien"",""66.448.837,11"",""0,30"",""66.448.837,11"",""2.038.605,00"",""32,60"",""Indien"",""National Stock Exchange Of India"",""INR"""
"1180,""THE SAUDI NATIONAL BANK"",""Financials"",""Aktien"",""66.210.151,14"",""0,30"",""66.210.151,14"",""6.484.273,00"",""10,21"",""Saudi-Arabien"",""Saudi Stock Exchange"",""SAR"""
"HKD,""HKD CASH"",""Cash und/oder Derivate"",""Geldmarkt"",""65.572.308,28"",""0,30"",""65.572.308,28"",""512.178.743,00"",""12,80"",""Hongkong"",""-"",""HKD"""
"LT,""LARSEN AND TOUBRO LTD"",""Industrie"",""Aktien"",""65.460.324,76"",""0,30"",""65.460.324,76"",""1.513.493,00"",""43,25"",""Indien"",""National Stock Exchange Of India"",""INR"""
"2222,""SAUDI ARABIAN OIL"",""Energie"",""Aktien"",""62.607.134,17"",""0,29"",""62.607.134,17"",""8.254.239,00"",""7,58"",""Saudi-Arabien"",""SSX"",""SAR"""
"9888,""BAIDU CLASS A INC"",""Kommunikation"",""Aktien"",""62.565.587,95"",""0,28"",""62.565.587,95"",""5.543.886,00"",""11,29"",""China"",""Hong Kong Exchanges And Clearing Ltd"",""HKD"""
"005380,""HYUNDAI MOTOR"",""Zyklische Konsumgüter "",""Aktien"",""61.293.466,61"",""0,28"",""61.293.466,61"",""328.827,00"",""186,40"",""Korea"",""Korea Exchange (Stock Market)"",""KRW"""
"ITUB4,""ITAU UNIBANCO HOLDING PREF SA"",""Financials"",""Aktien"",""60.555.858,48"",""0,28"",""60.555.858,48"",""9.811.251,00"",""6,17"",""Brasilien"",""XBSP"",""BRL"""
"2382,""QUANTA COMPUTER INC"",""IT"",""Aktien"",""60.292.311,69"",""0,27"",""60.292.311,69"",""6.642.000,00"",""9,08"",""Taiwan"",""Taiwan Stock Exchange"",""TWD"""
"9961,""TRIP.COM GROUP LTD"",""Zyklische Konsumgüter "",""Aktien"",""59.767.651,41"",""0,27"",""59.767.651,41"",""1.356.302,00"",""44,07"",""China"",""Hong Kong Exchanges And Clearing Ltd"",""HKD"""
